日期,買賣權別,身份別,未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2019/7/1,CALL,自營商,-20032,-99939
2019/7/1,CALL,投信,-230,-1237
2019/7/1,CALL,外資及陸資,32875,177123
2019/7/1,PUT,自營商,1524,-50712
2019/7/1,PUT,投信,821,1222
2019/7/1,PUT,外資及陸資,2059,31905
2019/7/2,CALL,自營商,-19860,-87540
2019/7/2,CALL,投信,-230,-1046
2019/7/2,CALL,外資及陸資,31823,157490
2019/7/2,PUT,自營商,-1967,-43275
2019/7/2,PUT,投信,821,1172
2019/7/2,PUT,外資及陸資,5345,35704
2019/7/3,CALL,自營商,-26267,-47999
2019/7/3,CALL,投信,-231,-552
2019/7/3,CALL,外資及陸資,23066,100186
2019/7/3,PUT,自營商,4229,-24011
2019/7/3,PUT,投信,776,4434
2019/7/3,PUT,外資及陸資,-2877,64575
2019/7/4,CALL,自營商,-18344,-39461
2019/7/4,CALL,投信,-231,-742
2019/7/4,CALL,外資及陸資,24563,110912
2019/7/4,PUT,自營商,-1524,-36410
2019/7/4,PUT,投信,1270,4263
2019/7/4,PUT,外資及陸資,-6411,41514
2019/7/5,CALL,自營商,-18386,-29704
2019/7/5,CALL,投信,-231,-726
2019/7/5,CALL,外資及陸資,21319,93324
2019/7/5,PUT,自營商,1065,-28634
2019/7/5,PUT,投信,1270,3611
2019/7/5,PUT,外資及陸資,-6064,40006
2019/7/8,CALL,自營商,-24088,-33509
2019/7/8,CALL,投信,-231,-444
2019/7/8,CALL,外資及陸資,19751,79846
2019/7/8,PUT,自營商,1507,-29377
2019/7/8,PUT,投信,1270,4762
2019/7/8,PUT,外資及陸資,-127,61815
2019/7/9,CALL,自營商,-29131,-36006
2019/7/9,CALL,投信,-231,-328
2019/7/9,CALL,外資及陸資,19440,75969
2019/7/9,PUT,自營商,11342,-11818
2019/7/9,PUT,投信,1270,3860
2019/7/9,PUT,外資及陸資,-2373,59398
2019/7/10,CALL,自營商,-20337,-22503
2019/7/10,CALL,投信,-230,-542
2019/7/10,CALL,外資及陸資,23250,93888
2019/7/10,PUT,自營商,-588,-21376
2019/7/10,PUT,投信,1273,1540
2019/7/10,PUT,外資及陸資,53,32509
2019/7/11,CALL,自營商,-19715,-38283
2019/7/11,CALL,投信,-230,-967
2019/7/11,CALL,外資及陸資,27325,109078
2019/7/11,PUT,自營商,-4849,-11001
2019/7/11,PUT,投信,1275,502
2019/7/11,PUT,外資及陸資,3739,18365
2019/7/12,CALL,自營商,-29115,-51423
2019/7/12,CALL,投信,-230,-883
2019/7/12,CALL,外資及陸資,30054,107007
2019/7/12,PUT,自營商,10848,16944
2019/7/12,PUT,投信,1275,271
2019/7/12,PUT,外資及陸資,2524,10819
2019/7/15,CALL,自營商,-32736,-47013
2019/7/15,CALL,投信,-230,-1088
2019/7/15,CALL,外資及陸資,30704,114101
2019/7/15,PUT,自營商,14308,32563
2019/7/15,PUT,投信,1275,-263
2019/7/15,PUT,外資及陸資,10626,6948
2019/7/16,CALL,自營商,-29477,-47165
2019/7/16,CALL,投信,-228,-1050
2019/7/16,CALL,外資及陸資,32176,111047
2019/7/16,PUT,自營商,6443,-7088
2019/7/16,PUT,投信,1275,-289
2019/7/16,PUT,外資及陸資,16624,16292
2019/7/17,CALL,自營商,-1459,3064
2019/7/17,CALL,投信,-225,-197
2019/7/17,CALL,外資及陸資,28854,91118
2019/7/17,PUT,自營商,11933,-18711
2019/7/17,PUT,投信,-224,-562
2019/7/17,PUT,外資及陸資,-3692,18531
2019/7/18,CALL,自營商,-5801,-15798
2019/7/18,CALL,投信,-225,-176
2019/7/18,CALL,外資及陸資,43622,94857
2019/7/18,PUT,自營商,11198,-36108
2019/7/18,PUT,投信,-224,-577
2019/7/18,PUT,外資及陸資,-1708,15684
2019/7/19,CALL,自營商,7260,18232
2019/7/19,CALL,投信,-225,-259
2019/7/19,CALL,外資及陸資,51300,130744
2019/7/19,PUT,自營商,1514,-44715
2019/7/19,PUT,投信,-224,-349
2019/7/19,PUT,外資及陸資,1661,18676
2019/7/22,CALL,自營商,846,2707
2019/7/22,CALL,投信,-225,-339
2019/7/22,CALL,外資及陸資,53919,158832
2019/7/22,PUT,自營商,-3294,-37751
2019/7/22,PUT,投信,-224,-273
2019/7/22,PUT,外資及陸資,7430,24201
2019/7/23,CALL,自營商,-1575,20353
2019/7/23,CALL,投信,-225,-309
2019/7/23,CALL,外資及陸資,56359,158227
2019/7/23,PUT,自營商,-347,-37612
2019/7/23,PUT,投信,-224,-250
2019/7/23,PUT,外資及陸資,7766,21648
2019/7/24,CALL,自營商,-3400,12286
2019/7/24,CALL,投信,-219,-311
2019/7/24,CALL,外資及陸資,45411,140816
2019/7/24,PUT,自營商,8882,-38861
2019/7/24,PUT,投信,-214,-312
2019/7/24,PUT,外資及陸資,6096,35814
2019/7/25,CALL,自營商,-12306,-12332
2019/7/25,CALL,投信,-219,-341
2019/7/25,CALL,外資及陸資,44907,140518
2019/7/25,PUT,自營商,14497,-22334
2019/7/25,PUT,投信,-214,-259
2019/7/25,PUT,外資及陸資,12601,31823
2019/7/26,CALL,自營商,-21384,-27270
2019/7/26,CALL,投信,-219,-289
2019/7/26,CALL,外資及陸資,43153,121377
2019/7/26,PUT,自營商,21969,-9235
2019/7/26,PUT,投信,1186,4327
2019/7/26,PUT,外資及陸資,15445,43254
2019/7/29,CALL,自營商,-23238,-25732
2019/7/29,CALL,投信,-219,-248
2019/7/29,CALL,外資及陸資,43016,113607
2019/7/29,PUT,自營商,20540,-20201
2019/7/29,PUT,投信,1186,4281
2019/7/29,PUT,外資及陸資,18095,44311
2019/7/30,CALL,自營商,-21647,-3442
2019/7/30,CALL,投信,-219,-184
2019/7/30,CALL,外資及陸資,41973,98823
2019/7/30,PUT,自營商,15257,-53330
2019/7/30,PUT,投信,1186,4622
2019/7/30,PUT,外資及陸資,18637,57442
2019/7/31,CALL,自營商,-11916,-22618
2019/7/31,CALL,投信,-217,-181
2019/7/31,CALL,外資及陸資,48215,114766
2019/7/31,PUT,自營商,8809,-21904
2019/7/31,PUT,投信,1189,4496
2019/7/31,PUT,外資及陸資,14899,62713
2019/8/1,CALL,自營商,-19450,-36042
2019/8/1,CALL,投信,-217,-82
2019/8/1,CALL,外資及陸資,46074,79955
2019/8/1,PUT,自營商,14751,-13652
2019/8/1,PUT,投信,1189,6447
2019/8/1,PUT,外資及陸資,22493,99428
2019/8/2,CALL,自營商,-50171,-39063
2019/8/2,CALL,投信,-75,-139
2019/8/2,CALL,外資及陸資,53161,68087
2019/8/2,PUT,自營商,4680,-7801
2019/8/2,PUT,投信,1189,12906
2019/8/2,PUT,外資及陸資,45056,233638
2019/8/5,CALL,自營商,-63104,-34594
2019/8/5,CALL,投信,-75,-90
2019/8/5,CALL,外資及陸資,59383,74356
2019/8/5,PUT,自營商,1283,-51877
2019/8/5,PUT,投信,1195,17361
2019/8/5,PUT,外資及陸資,51128,355471
2019/8/6,CALL,自營商,-81359,-22503
2019/8/6,CALL,投信,-75,-64
2019/8/6,CALL,外資及陸資,63404,82357
2019/8/6,PUT,自營商,-1318,-19569
2019/8/6,PUT,投信,701,11906
2019/8/6,PUT,外資及陸資,52235,414931
2019/8/7,CALL,自營商,-47610,-37657
2019/8/7,CALL,投信,-75,-47
2019/8/7,CALL,外資及陸資,47843,79128
2019/8/7,PUT,自營商,3983,-61431
2019/8/7,PUT,投信,1151,10383
2019/8/7,PUT,外資及陸資,32395,276471
2019/8/8,CALL,自營商,-42247,3303
2019/8/8,CALL,投信,-75,-53
2019/8/8,CALL,外資及陸資,62709,100278
2019/8/8,PUT,自營商,4601,-4803
2019/8/8,PUT,投信,1151,6699
2019/8/8,PUT,外資及陸資,35934,194459
2019/8/12,CALL,自營商,-44054,20946
2019/8/12,CALL,投信,-75,-27
2019/8/12,CALL,外資及陸資,61986,77616
2019/8/12,PUT,自營商,-137,-10831
2019/8/12,PUT,投信,1201,3543
2019/8/12,PUT,外資及陸資,48485,186888
2019/8/13,CALL,自營商,-50931,17238
2019/8/13,CALL,投信,-75,-11
2019/8/13,CALL,外資及陸資,67560,50857
2019/8/13,PUT,自營商,731,-33570
2019/8/13,PUT,投信,1201,5957
